timebin,sid,sequence,use,group
0,13205111,CTcPTcP,0,HH
1,13205111,CTcPTcP,0,HH
2,13205111,CTcPTcP,0,HH
3,13205111,CTcPTcP,0,HH
0,13205111,CTsCTs,0,HH
1,13205111,CTsCTs,0,HH
2,13205111,CTsCTs,0,HH
3,13205111,CTsCTs,0,HH
0,13205111,PCTbP,0,HH
1,13205111,PCTbP,1,HH
2,13205111,PCTbP,0,HH
3,13205111,PCTbP,0,HH
0,13205111,PCTsP,0,HH
1,13205111,PCTsP,0,HH
2,13205111,PCTsP,0,HH
3,13205111,PCTsP,0,HH
0,13205111,PTb,1,HH
1,13205111,PTb,0,HH
2,13205111,PTb,1,HH
3,13205111,PTb,0,HH
0,13205111,PTsPC,1,HH
1,13205111,PTsPC,0,HH
2,13205111,PTsPC,0,HH
3,13205111,PTsPC,0,HH
0,13205111,TbCP,1,HH
1,13205111,TbCP,0,HH
2,13205111,TbCP,0,HH
3,13205111,TbCP,0,HH
0,13205111,TbP,1,HH
1,13205111,TbP,1,HH
2,13205111,TbP,1,HH
3,13205111,TbP,0,HH
0,13205111,TbPC,0,HH
1,13205111,TbPC,0,HH
2,13205111,TbPC,1,HH
3,13205111,TbPC,0,HH
0,13205111,TbPCP,0,HH
